Title,Open,High,Low,Last,Volume,Tick Vol,Open Int,Bid,Ask,Bid/Ask Spread,Net,Dys Left,Time Val.,Intrin.Val.,Type
AAPL Sep14 100 Call,3.50,3.75,3.20,3.45,16856,0,102802,3.40,3.45,0.05,+0.2,25,1.75,1.69,Call
AAPL Sep14 100 Call,3.15,3.45,2.86,3.05,1951,0,11795,3.05,3.15,0.10,+0.13,25,1.35,1.69,Call
AAPL Sep14 100 Call,3.91,4.00,3.55,3.70,1025,0,3668,3.70,3.75,0.05,+0.15,25,2.00,1.69,Call
AAPL Sep14 100 Call,2.44,2.75,2.10,2.30,5579,0,13875,2.31,2.35,0.03,+0.06,25,0.60,1.69,Call
AAPL Sep14 101 Call,2.90,3.14,2.63,2.86,5260,0,17587,2.84,2.86,0.02,+0.13,25,2.16,0.69,Call
AAPL Sep14 101 Call,2.62,2.80,2.35,2.50,1673,0,27574,2.49,2.50,0.01,+0.13,25,1.80,0.69,Call
AAPL Sep14 101 Call,3.20,3.39,3.00,3.04,817,0,1969,3.10,3.20,0.10,+0.12,25,2.34,0.69,Call
AAPL Sep14 101 Call,1.83,2.06,1.50,1.70,4031,0,12828,1.67,1.69,0.02,+0.07,25,1.00,0.69,Call
AAPL Sep14 102 Call,2.46,2.59,2.16,2.34,4932,0,9954,2.31,2.33,0.01,+0.13,25,2.34,0.00,Call
AAPL Sep14 102 Call,2.09,2.23,1.81,1.98,2147,0,4116,1.95,1.98,0.03,+0.11,25,1.98,0.00,Call
AAPL Sep14 102 Call,2.61,2.88,2.45,2.61,1300,0,1622,2.63,2.67,0.04,+0.13,25,2.61,0.00,Call
AAPL Sep14 102 Call,1.27,1.47,0.98,1.15,6199,0,10053,1.14,1.15,0.01,+0.01,25,1.14,0.00,Call
AAPL Sep14 103 Call,1.95,2.11,1.74,1.85,2469,0,7118,1.87,1.89,0.02,+0.08,25,1.85,0.00,Call
AAPL Sep14 103 Call,1.61,1.75,1.42,1.50,1958,0,2451,1.51,1.54,0.03,+0.05,25,1.50,0.00,Call
AAPL Sep14 103 Call,2.25,2.39,2.08,2.16,854,0,1024,2.19,2.21,0.02,+0.08,25,2.15,0.00,Call
AAPL Sep14 103 Call,0.85,0.99,0.66,0.75,5874,0,22365,0.73,0.75,0.02,+0.01,25,0.75,0.00,Call
AAPL Sep14 104 Call,1.54,1.69,1.38,1.50,1479,0,6698,1.49,1.51,0.02,+0.1,25,1.50,0.00,Call
AAPL Sep14 104 Call,1.19,1.35,1.09,1.15,1062,0,4114,1.15,1.18,0.03,+0.06,25,1.14,0.00,Call
AAPL Sep14 104 Call,1.95,1.96,1.72,1.72,82,0,865,1.78,1.84,0.06,+0.08,25,1.72,0.00,Call
AAPL Sep14 104 Call,0.55,0.65,0.39,0.46,2826,0,3336,0.44,0.46,0.02,-0.03,25,0.46,0.00,Call
AAPL Sep14 105 Call,1.22,1.35,1.08,1.17,11229,0,120865,1.17,1.19,0.02,+0.04,25,1.17,0.00,Call
AAPL Sep14 105 Call,0.91,1.03,0.80,0.88,991,0,5227,0.86,0.88,0.02,+0.05,25,0.88,0.00,Call
AAPL Sep14 105 Call,1.41,1.62,1.37,1.44,679,0,3527,1.45,1.49,0.04,+0.09,25,1.44,0.00,Call
AAPL Sep14 105 Call,0.35,0.40,0.24,0.26,2563,0,6800,0.26,0.27,0.01,-0.04,25,0.26,0.00,Call
AAPL Sep14 106 Call,0.97,1.05,0.86,0.93,1010,0,2291,0.91,0.93,0.02,+0.06,25,0.93,0.00,Call
AAPL Sep14 106 Call,0.66,0.78,0.62,0.62,335,0,1764,0.64,0.66,0.02,-0.01,25,0.62,0.00,Call
AAPL Sep14 106 Call,1.15,1.28,1.15,1.17,163,0,1402,1.17,1.19,0.02,+0.12,25,1.17,0.00,Call
AAPL Sep14 106 Call,0.21,0.25,0.14,0.16,1159,0,5961,0.15,0.16,0.01,+0,25,0.16,0.00,Call
AAPL Sep14 107 Call,0.72,0.81,0.65,0.70,901,0,4093,0.71,0.72,0.01,+0.06,25,0.70,0.00,Call
AAPL Sep14 107 Call,0.50,0.56,0.46,0.48,325,0,979,0.46,0.48,0.02,+0.02,25,0.48,0.00,Call
AAPL Sep14 107 Call,1.00,1.04,0.90,0.90,115,0,797,0.93,0.96,0.03,+0.04,25,0.89,0.00,Call
AAPL Sep14 107 Call,0.15,0.16,0.08,0.09,1087,0,6369,0.09,0.10,0.01,-0.02,25,0.09,0.00,Call
AAPL Sep14 108 Call,0.56,0.62,0.52,0.55,627,0,3714,0.54,0.56,0.02,+0.03,25,0.54,0.00,Call
AAPL Sep14 108 Call,0.40,0.41,0.33,0.34,129,0,848,0.34,0.36,0.02,-0.05,25,0.34,0.00,Call
